	lang	ref_caption	gen_caption
18	iw	קשת חשמלית במעבר 3000 וולט באוויר שבין שני מסמרים	מוט מוליך
19	iw	שדות שרופים במועצה אזורית אשכול כתוצאה מעפיפוני תבערה שהופרחו מרצועת עזה.	אירועי העימות בגבול ישראל–רצועת עזה (2018–הווה)
20	iw	הר דמאוונד הפסגה הגבוהה ביותר באיראן, וגם בכל אזור דרום מערב אסיה.	טופוגרפיה
21	iw	הסטיקר הנפוץ ביותר של מתנגדי אחמדינז'אד, Where is my Vote - איפה הקול שלי(?)	אירועים פוליטיים
22	iw	"""ראש הדרקון העתיק"" בשָׁאנְהָאיגְווָאן - הקצה המזרחי של החומה הגדולה"	חומה הגדולה של סין
23	iw	מפת התביעות הטריטוריאליות של התנועה הציונית כנספח למסמך התביעות הציוני שהוצג בפני ועידת השלום ב-3 בפברואר 1919. גבולות המדינה היהודית מסומנים בקו קטוע.	ועד משלחות יהודיות
24	iw	עוף מים בפארק רעננה	פארק רעננה
25	iw	ציור של עדר של היפריונים רצים	גמלים
26	iw	כלב רוח	כלב רוח
27	iw	צבאו של מגנוס השלישי מלך נורווגיה בסקוטלנד	צילום ישן של קבוצה של אנשי מלחמה עם דגלים
28	iw	דישון בפרוות חורף, בגן חיות בקנטקי, ארצות הברית.	עץ עם עץ עם עץ עם עץ עם עץ עם עץ עם
29	iw	לוח זיכרון ל-34 חללי התקרית, המוצב במוזיאון ההעפלה וחיל הים, ביזמת ותיקי פלגת הטרפדות.	פרסום עם רשימה של מספרים רבים על גבי לוח זכוכית.
30	iw	סוללת טילי S-200 של החיל לצד המדריכים הסובייטיים.	טיל
31	iw	החללית ששוגרה ב-2016	תוכנית אורורה - תוכנית זמן מתוכננת - תוכנית זמן מתוכננת - תוכנית
32	iw	פסלו של אדרימי שנמצא באללח'. אוסף המוזיאון הבריטי	סופה
33	iw	Z3 במוזיאון המדע במינכן	מחשב עם מספרים רבים עליו.
34	iw	מהבתים הראשונים בנחלים	בית עם עץ ירוק ליד הבית
35	iw	"הפגנה נגד ELN ""מה יעשו האזרחים שנחטפו""?"""	קבוצה של אנשים עומדים על כביש עם שלטים.
36	iw	"בית חרושת למיצים וריבות ""עסיס"", 1946. צלם יעקב רוזנר"	צילום בשחור-לבן של משרד עם כתובת אנגלית.
37	iw	סמל ישן של נובה סקוטיה	סמל נובה סקוטי
38	iw	"ציור בסגנון ונציאני שהוצג בתור “זוג” של ""ונוס מול המראה"" באוסף גספר מנדס דה הרו"	דמות של גבר עם תינוק על הגב
39	iw	פצצה געשית בשכבות הטוף של הר בנטל	פצצה געשית
40	iw	זיהוי באמצעות מבחנות מצע נוזלי	קבוצה של דגימות עם מספרים רבים
41	iw	"רא""ל במיל. שאול מופז - התמנה לשר פחות מחצי שנה לאחר שפרש מצה""ל בגלל כניסתו המאוחרת של חוק הממשלה לתוקף, אולם התמודדתו בבחירות נפסלה לפי חוק הבחירות לכנסת"	חוק הכניסה
42	iw	קטר-שבו, 1957 הורכב על ידי הינו מוטורס, יפן	רכב ישן עם פנים שחור נסע ברחוב.
43	iw	מטוס חברת התעופה ניקי, אותה יסד וניהל ניקי לאודה	קבוצת מקלארן
44	iw	משחתת של הצי המלכותי הקנדי	חיל הים
45	iw	מטול RPG-7 עם רקטה	כלי רכב ישן עם צלצול ירוק.
46	iw	מבט מסנטה מריה אל סנטיאגואיטו	צונאמי
47	iw	איריס צהוב, צייר ג'יימס סוורבי	צילום של עץ עם עץ ירוק עליו.
48	iw	"חיים רמון סייע במגעים עם ש""ס להפלת הממשלה"	מלחמת שמיר
49	iw	Circus cyaneus	קישורים חיצוניים
50	iw	ראשי הממשלה לוי אשכול וביארני בנדיקטסון, 1963.	יחסי איסלנד–ישראל
51	iw	מקדש בעל שמין על רקע האכסדרה הגדולה כפי שהוא מופיע בספרו של רוברט ווד, 1753	ירושלים, ירושלים, ירושלים, ירושלים, ירושלים, ירושלים, ירושלים, ירושלים, ירושלים, ירושלים,
52	iw	מרקל מקבלת מהנשיא אובמה את מדליית החירות הנשיאותית, 2011	נשיאת גרמניה
53	iw	עמדת מקלע ויקרס שהקים הצבא המצרי, סמוך לגשר עד הלום	ארץ ישראל
54	iw	גירית בתאילנד	דוב
55	iw	החזית המערבית של הקתדרלה, שנבנתה תחת השגחתו של ז'פרואה דה לב בסגנון גותי מוקדם. הצריח הדרומי (ימני) הוא מהמאה ה-12 ואילו הצריח הצפוני (שמאלי) הוא בסגנון Flamboyant מהמאה ה-16.	תצלום של קתדרלת שארטר, עם שתי קתדרלות גבוהות.
56	iw	מקום מנוחתה של רוחיה ח'אנום בגנים הבהאים בחיפה	אנדרטה למרי סאת'רלנד מקסוול
57	iw	קובי פרץ	גבר עם תכשיטים ירוקים עם תכשיטים ירוקים.
58	iw	בית-ספר בלפור (1934), אחד משורת בתי הספר שתכנן ובנה בן-סירה בתל אביב בשנות השלושים בסגנון הבינלאומי	אדריכל
59	iw	דקל דום מצרי - צולם במלחת עברונה	עץ
60	iw	אלינור מרקס (יושבת במרכז), לצידה אחיותיה הגדולות ג'ני לונגה ולורה מרקס. עומדים - קרל מרקס מימין ופרידריך אנגלס משמאל	משפחת מרקס - משפחה עם ילדים - צילום ישן.
61	iw	הפגנות בעד סיפוח אסטוניה בטאלין	אירועי 1940
62	iw	הכנסייה והאכסניה הקופטית ביפו	נצרות
63	iw	מפת הפארקים הלאומיים קינגס קניון (מצפון) וסקוויה (מדרום)	פארק קניון קינגס הוא פארק לאומי עם מספר גנים לאומיים רבים.
64	iw	התנגשות אלסטית בין פוטון לבין אלקטרון במנוחה	תיאור של השפעה של השפעה של השפעה של השפעה של השפעה של השפעה של השפ
65	iw	קספר ויינברגר עולה על מסוק בוושינגטון, 1983	פוליטיקאי
66	iw	חזית התחנה במאה ה-19	צילום ישן של רחוב עם רחוב מלא אנשים
67	iw	"העמוד הראשון בתלמוד הבבלי בש""ס וילנה. הטקסט במרכז הוא התלמוד ומסביב - דברי הפרשנים"	דף עם טקסט יהודי ישן
68	iw	פסלו של לורקה במדריד	פדריקו גארסיה לורקה
69	iw	פרט של רביית כלאיים בין אורן חד-מחטי לאורן דו-מחטי, רכס בר ריוור בצפון יוטה	עץ עם עץ אחד עם עץ אחד עם עץ אחד עם עץ
70	iw	מסוף VT420	מקלדת מחשב עם מקלדת מחשב ליד.
71	iw	גביע המדינה מתקופת ימי הדאבל 2010/2011	באר שבע - קבוצה כדורסל ישראלית, קבוצה כדורסל ישראלית, קבוצה כדורסל ישראלית
72	iw	"מפה של פיזור האוכלוסייה השחורה בשיקגו ב-1920, מתוך דוח ועדת שיקגו לחקירת המהומות. במקרא רשום: ""כל נקודה שחורה מייצגת 40 שחורים"". גם ללא חוקי הפרדה גזעית רשמיים, הקהילה השחורה התרכזה באזור קטן, ""החגורה השחורה"", שהיה צפוף והתנאים בו היו ירודים. ניסיונות הגירה מהאזור לשכונות אחרות נתקלו פעמים רבות בהתנגדות אלימה."	מלחמת הגזעים בשיקגו (1919), מלחמת הגזעים בשיקגו, מלחמת הגזעים בשיק
73	iw	להקת היפופוטמים באפריקה שמדרום לסהרה.	גמלים
74	iw	שלד של היפופוטם קפריסאי גמדי.	מין עתיק של חיות חיים
75	iw	לב בסיטרואן בסבב ה-WTCC ביפן, 2014	מכונית תיור
76	iw	מפרץ פילוס	עיר
77	iw	"19 במרץ: כוחות צרפתיים, בריטיים ואמריקאים, פותחים במתקפה על כוחותיו של מועמר קדאפי בלוב בהתאם להחלטה 1973 של מועצת הביטחון של האו""ם מ-17 במרץ."	מלחמת עזה
78	iw	הסיירת המשוריינת שרנהורסט	מלחמת איי פוקלנד
79	iw	נואל קלארק, זוכה פרס הכוכב העולה	טקס פרסי האקדמיה הבריטית לקולנוע ה-62
80	iw	אלברט ריידר, מסלול המוות, 1896?	אלברט פינהאם ריידר
81	iw	פסלו של ריצ'רד הראשון בפתח ארמון וסטמינסטר בלונדון.	ריצ'רד הראשון
82	iw	מסגד סופי בקוואזולו-נטאל	דת
83	iw	ציורי מערות באזור סנטה ברברה בארצות הברית	אזור המערות הוא אזור עם קיר עץ גבוה, עם ציור עץ גבוה
84	iw	תחנת הרכבת החדשה בכיכר פוטסדאם בשנת 1900 לערך	רחוב פוטסדאם
85	iw	בתוככי בלוק 15 של המחנה	מחנה ריכוז
86	iw	זינדין זידאן	שחקן כדורגל עם חולצה לבנה עומד על שדה ירוק
87	iw	הדגל הצבאי הארגנטינאי שהפדרליים השתמשו בו	דגל ניו-זילנד
88	iw	רימונים לספר תורה, תחילת המאה ה-20	רימון רגיל הוא כלי עיצוב רגיל, עם עיצובים רבים.
89	iw	"סכו""ם לילדים ועליו תבליטים למעשיות שלגיה, כיפה אדומה ועמי ותמי"	סכין
90	iw	שטח בית העלמין היהודי בזגייז'	כנסייה
91	iw	מרטין בולטימור	חיל האוויר המדברי
92	iw	השוואה בין תשליל (נגטיב) והדפס (פוזיטיב) של הדמות בתכריכים. התמונה השמאלית היא התשליל. ניתן לראות כי היא נראית כהדפס (פוזיטיב) ולא כתשליל (נגטיב)	שתי תמונות של דמות עם פנים רבות.
93	iw	וילנב, שני משמאל, נושא את הדגל האולימפי בטקס הפתיחה של אולימפיאדת ונקובר (2010)	קבוצה של ספורטאים עומדים עם דגל עם דגל עם דגל עם דגל
94	iw	אננס גדל תחת רשתות צל במושב חרות בישראל	עץ אננס
95	iw	"""הלאומנים"" - קריקטורה מסביבות שנת 1910 מאת ניקולאיה פטרסקו- גאינה, המציגה את הצמד ניקולאיה יורגה וא.ק. קוזה, מייסדי המפלגה הלאומנית דמוקרטית, כדון קישוט וסנצ'ו פנסה בהתאמה. מגנו של יורגה נושא את שם בטאונם: Neamul românesc, ועל חרבו נראה ראש כרות של יהודי"	קונסטנטין קוזה (1894-1945) - אבי האנטישמיות הקיצונית ברומניה.
96	iw	"דידי הררי ומיכל זוארץ בעת שהגישו את התוכנית ""קיץ על החוף"" בערוץ 2"	גבר ונשים עומדים אחד מול השני על החוף.
97	iw	הנשיא ביל קלינטון משוחח עם מושל אינדיאנה ביי בחדר הסגלגל, 1993	אוון ביי (פוליטיקאי)
98	iw	צו הקמה ליחידת שייטת ספינות הטילים, 15 בנובמבר 1967.	דף עם מספרים עבור תוכנית תוכנית תוכנית תוכנית תוכנית תוכנית תוכנ
99	iw	גודריץ' בשנת 2001	גבר עם כדור כדורסל ליד ילדה.
100	iw	"בפרימיירה של הסרט ""לחשוב כמו גבר"" בשנת 2012"	קווין הארט
101	iw	"בית החולים ע""ש מארינסקי במוסקבה שבו עבד אביו של דוסטויבסקי. המשפחה התגוררה בדירה במתחם"	בית עם קיר ירוק עם עץ ירוק.
102	iw	אמלי מורסמו, מנצחת התחרות	שחקנית טניס עומדת על כדור טניס.
103	iw	מפה המציגה את משימות הריסוס האווירי בדרום וייטנאם שהתבצעו בין 1965 ל-1971	אזור מלחמת וייטנאם
104	iw	תחרות הפלה ברומח בין פרשים כבדים (אבירים בשריון לוחות)	חיל פרשים
105	iw	קרואטי גבוה אצילות נבחר פרדיננד הראשון של בית הבסבורג בתור מלך קרואטיה ב - 1527	יחסי אוסטריה–קרואטיה
106	iw	האפיפיור יוחנן פאולוס השני עם נשיא ארצות הברית ג'ורג' בוש בקסטל גנדולפו בשנת 2001	אחוזת האפיפיור בקסטל גנדולפו
107	iw	נחל לכיש וגדותיו במבט מפארק לכיש	פארק עם דשא ירוק ליד מים.
108	iw	צורת הכניסה לחליפת החלל אורלן.	חולצה אסטרונאוטית
109	iw	דניס בונקר, ג'סיקה, 1890	דניס מילר בונקר, דניס מילר בונקר, דניס מילר בונקר, דניס מילר בו
110	iw	המסלול	טבלת המסלול של פארק דה רוז'ס
111	iw	אנשיו של מונקאלם טובחים בנשים וילדים בריטיים בפורט ויליאם הנרי. מונקאלם נראה מימין מנסה לעצור אותם.	צילום שחור לבן של גבר עם סכין עם ידיו על ראשו
112	iw	העיר ריצ'לנד בראשית ימיה: עיר המגורים העיקרית שבנה הממשל האמריקאי לעובדי הנפורד	צילום אווירי של עיר עם מים.
113	iw	סגן קנדי (מימין) עם צוות ספינת הסיור שלו ב-1943	ג'ון פיג'רלד קנדי
114	iw	ראיין ריינולדס, שגילם את דדפול בסרט, בבכורה של הסרט בטמפה.	גבר עם חולצה שחורה עם סווטשרט שחור.
115	iw	Aequorea victoria, מדוזה ביו-פלואורסצנטית הידועה כנשאית GFP	אלמוגים חיים במים.
116	iw	ואן דייק באולימפיאדת לונדון (2012)	אופנוע
117	iw	אליעזר ריבלין	פסק דין - בית המשפט העליון
118	iw	"דפוס ראשון של מורה נבוכים לרמב""ם בתרגום שמואל אבן תיבון; רומא, המאה ה-15"	טקסט עם כתב יפני על גבי דף שחור
119	iw	שחזור של הצגת הטלפון על ידי בל	טלפון
120	iw	"איור מתוך ה""פשטבוך"" של וולרשטיין במאה ה-15, מראה טכניקות לחימה בשריון: מהלומה באמצעות תפוח הניצב, ודקירה תוך אחיזת הלהב באמצעו."	סכין
121	iw	האי בראבאנט, מבט מכיוון צפון מזרח לעבר האי. מימין ניתן לראות את האי אונוור, וברקע את חצי האי האנטארקטי; את הרי סולוואי, ניתן לראות משמאל, בצד הרחוק של האי.	קרחון באלאנסטרה הוא קרחון ענק עם מספר רמות של קרח.
122	iw	ותיקי האגודה (מימין לשמאל) שוקה שפירא, אהוד גלילי וחיים סתיו מעלים זיכרונות וכותבים את ערך האגודה	אין אפשרות להציג יותר מידע על פעילויות האגודה.
123	iw	"תצורת סלע בירדן הנקראת ""אשת לוט"". במפות הירדניות מופיעה בשם ""בת השיח' לוט"" מכיוון שבקוראן אשת לוט לא הפכה לנציב מלח"	מלח
124	iw	קיטל עם חולצת המאיץ על הדוכן של טור דה פראנס 2017.	גבר עם חולצה ירוקה עומד על סולם.
125	iw	מקוק סרטנים אוחז בפרי	יער
126	iw	ביתן ג'והמנו	ארמון צה'אנגדאק
127	iw	בניית תחנת הרכבת של קורדובה, שנות ה-80 של המאה ה-19	צילום ישן של רחוב עם רכבים עליו.
128	iw	תיאור מימי הביניים של יהודי, בעל כובע מחודד, בעסקה כספית עם נוצרי	לוח שנה
129	iw	מייבש כביסה עתיק	חלקים עיקריים במייבש כביסה מודרני הם מוט, מוט גזירה, מוט גזירה,
130	iw	מבנה בית הכנסת החרב בווידין כפי שצולם ב-2009	יהדות בולגריה
131	iw	יער עננים - אופייני לבית הגידול של הסרו.	יער עם יער ירוק גבוה.
132	iw	תיאטרון ילדים והנוער באר שבע 2018	פרסים
133	iw	בניין מועצת העיר אודסה	משרדים פוליטיים ומשרדים ציבוריים באודסה
134	iw	הראפאל ממריא מנושאת מטוסים	חיל האוויר הצרפתי
135	iw	פיאצה אינדיפנדנצה והאובליסק	כנסיית סן רוקו
136	iw	"נשים לא לבנות מקהילת הלהט""ב עלולות להיות חשופות למיקרו-אגרסיה בעלת אופי הצטלבותי, אשר מושפעת מיותר מזהות או מאפיין אחד שלהן (למשל: מגדר, גזע או נטייה מינית)"	אגרסיה
137	iw	אריאדנה עם בנה אלי. פריז, 1938	הספר הראשון
138	iw	סמל הארמייה	דגל עם דגל רוסי על הצד
139	iw	טאראמוסאלאטה - סלט ביצי דגים	אוכל יווני עם תבלינים, עגבניות, עגבניות, עגבניות, עגבניות
140	iw	מתקפת החיוכים; מוחמד ג'וואד זריף, שר החוץ של איראן. עם קתרין אשטון, לשעבר הנציגה העליונה לענייני חוץ ומדיניות ביטחון של האיחוד האירופי	מדיניות עכשווית
141	iw	צפיפות האוכלוסין הגדולה שבעיר מתאפיינת בבתים צפופים ורבי קומות	עיר גדולה עם רחובות גבוהים.
142	iw	פוחלץ של זכר בוגר במוזיאון הזואולוגי של סנט פטרבורג.	יעל קווקזי מזרחי
143	iw	רוטשטיין (מימין) עם חבריו ללהקת הכל עובר חביבי	מוזיקאי
144	iw	ג'ויס ב-1888	ג'יימס ג'ויס - ילד אמריקאי עם חולצה צבאית.
145	iw	ציון הנקודה מתחת לשער	לוח שנה
146	iw	הכור הגרעיני הראשון, שנבנה בשדה סטאג, בשיקגו	ציור של חדר גדול עם קיר גבוה
147	iw	נשיא ארצות הברית, ברק אובמה, בעת נאום לאומה שערך בינואר 2010 ובו התחייב לבטל את המדיניות. התנגדותו לחוק הייתה עקבית עוד מתקופת כהונתו כסנאטור, ובמהלך כהונתו כנשיא קידם מהלכים לביטולו.	ברק אובמה
148	iw	בית הכנסת בכפר דרום	חדר גדול עם מספר שולחנות רבים.
149	iw	חבר חמישיית העונה הארי גלאטין	כדורסל - היסטוריה
150	iw	הטירה בבולסנה	עיר
151	iw	הצב-לא-צב, אליס והגריפון. ניתן להבחין שראשו, פרסותיו וזנבו של הצב-לא-צב הן של בקר	סרטים
152	iw	"סט כרומוזומים של אדם (מימין) ושל אורנגאוטן (משמאל), מסומנים בצבע פלואורסצנטי קשור לדנ""א מזוג כרומוזומים מספר 2 של אדם. הצביעה מראה שהגנום של האורנגאוטן מכיל רצף דנ""א כמעט זהה, אלא שהוא מחולק על פני שני זוגות כרומוזומים"	גנטיקה אבולוציונית אנושית היא גנטיקה גנטית אנושית, אשר מתארת את גנים
153	iw	שטר ייחודי של 100,000 דולר אמריקני	שטר דולרים
154	iw	גשר שיח' חוסיין קרס לתוך הירדן, 1946, ארכיון ההגנה	גשר שייח' חוסיין
155	iw	"מיה זיו-וולף ואברי גלעד באולפן ""העולם הבוקר"", חנוכה תשע""ט"	חדשות חדשות חדשות חדשות חדשות חדשות חדשות חדשות חדשות חדשות חדשות חדשות חדשות חדשות חדשות
156	iw	גשר אוברבאום בשעת שקיעה, במבט מכיוון צפון.	גשר אוברבאום
157	iw	בזיליקת הלב הקדוש	כנסייה
158	iw	פנחס לבון	סרטן
159	iw	אוניברסיטת הרווארד	אוניברסיטה
160	iw	פגסוס דרקוני בחול	דגי גרם
161	iw	קטע מ-DNA שמכיל מידע גנטי חשוב להתפתחות ותפקוד יצורים חיים.	דגם של דנא, עם מספרים רבים
162	iw	מופע צעיר של יולית ים סוף	דגים ים-סופיים
163	iw	הספינה ויקטוריה. פרט מתוך מפה של אברהם אורטליוס, קרטוגרף	דף היסטורי של פורטוגל עם דף הים של פורטוגל.
164	iw	Oat groats - גרעיני שיבולת שועל מלאים ושלמים	תבואה
165	iw	אחיזה טיפוסית ברפייר: האצבע והאגודל מעל לשמורות המוצלבות	צילום בשחור-לבן של יד עם סכין.
166	iw	הורים מצולמים יחד עם בתם שזה עתה נפטרה. המתה צולמה כשעיניה עוד היו פקוחות.	צילום ישן של משפחה עם ילדה.
167	iw	חג ההתגלות שנחגג בתחילת ינואר, מחליף את חג המולד בחלק מהכנסיות	חג המולד
168	iw	העיר העתיקה במונטריאול	עיר עם מספר רב של אנשים שעוברים ליד אחד מבתי המשפט.
169	iw	"היכל הספר, משכנן של מגילות מדבר יהודה (""המגילות הגנוזות"") וכתר ארם צובא"	קיר עם מים ליד צמחים.
170	iw	ג'יימס קונולי, האלוף האולימפי הראשון בעת החדשה (קפיצה משולשת, אולימפיאדת אתונה)	היסטוריה
171	iw	תקשורת בין-אישית	מאפייני מנהיג הדעה במודל הזרימה הדו-שלבי
172	iw	דיוקנו הרשמי של אובמה בכהונתו הראשונה, 2009	"תפקידו: נשיא ארה""ב"
173	iw	דרך עפר בברזיל	דרך עפר
174	iw	אפרוח פטם עם חזה מוגדל יחסית למשקלו עקב השבחה. תיעוד של קירות שקופים	קיר שקוף
175	iw	לפי מרקס, דת היא אחת הדרכים לשימור היכולת של החברה לשמר את הערכים והצורה החברתית הקיימת. בתמונה: איקונה של ישו, הקדוש לדת הנוצרית	דת
176	iw	לבון הלם במנדולינה, 1971	אלבום שני
177	iw	ניוטון בציורו של וויליאם בלייק (1795). נס או עבודה קשה?	ניוטון
178	iw	אתיופיה בסביבות 1850	מלחמת הקיסר
179	iw	למרות גודלו הרב, תזונת הלווייתן הכחול מבוססת בעיקר על יצורים זעירים - פלנקטון, קריל וסרטנאים זעירים. בתמונה קריל מהמין קריל אנטארקטי (Euphausia superba)	דגים
180	iw	סטייקים של קודו וזברה מוגשים במסעדה בקייפטאון.	קציצות
181	iw	מחקר מוקדם של באומן - מיפוי הקשר בין סוגי הקרקעות והיערות בארצות הברית. 1911	דף היסטורי של ניו יורק עם דפים ירוקים ושחורים.
182	iw	עיט, מרינה הרצליה	פסלי חוצות
183	iw	סמל המשפחה של עמנואל בנבנשתי מאמצע המאה ה-17. גור האריה והמגדל מופיעים גם בסמל המשפחה של משפחת מנדש.	משפחה בנבנשתי
184	iw	החומה הרחבה שנבנתה על ידי חזקיהו.	מסע סנחריב
185	iw	זאב רווח	סרט ישראלי
186	iw	אלכסנדר פלמינג	גבר עם תואר עם עטיפה עם עטיפה עם עטיפה עם עטיפה עם
187	iw	"התוכניות הסובייטיות לכיבוש מבלט רז'ב-ויאזמה (מבצע ""מארס"" בחצים הקטנים ומבצע ""יופיטר"" בחצים הגדולים). השטחים שנכבשו במהלך המתקפה הסובייטית מסומנים בקו מפוספס"	מלחמת רז'ב השני
188	iw	שחקני ארסנל בעונת 1920/1921, שהייתה הטובה ביותר בתקופת לזלי נייטון. המועדון סיים במקום התשיעי בעונה זו	היסטוריה של ארסנל
189	iw	הנבחרת הצעירה של ישראל במשחקי אליפות אירופה לנבחרות צעירות, יוני 2013	קבוצה כדורגל
190	iw	מומנט כפיפה בצינור על תמיכות תחת עומס מפולג	דוגמה גרפית של ציר עם מספרים
191	iw	כרזת בחירות של הייז ושל וילר	רהרפורד הייז - מועמד פוליטי אמריקאי לתפקיד נשיאותי.
192	iw	"הפסל המקסיקני אבל רמירס אגילר (Abel Ramírez Águilar) יחד עם חברים אחרים לפני פסל השלג שגילפו ""כפר קטן"" באליפות הבינלאומית לפיסול בשלג ב-1999"	קבוצה של אנשים עומדים ליד כנסייה עם שלג.
193	iw	סוף תחרות הסיבולת (Endurance) במועדון Hot-wheels רמת ישי	רכב רטרו
194	iw	"ד""ר טרנדלי דין שחקר את הקשר בין תחלואה בפלואורוזיס לבין פלואוריד במי השתייה"	צילום בשחור-לבן של אדם בחליפה.
195	iw	נקבת צפיר קורדילרים עם תאומים. הפארק הלאומי גליישר.	חיות יער
196	iw	קרויצגר במהלך טור דה פראנס 2009	רומן קרויצגר (במקור: רומן קרויצגר) - שחקן אופנועים אמריקאי.
197	iw	אצת פלה	זכוכית געשית
198	iw	המתאבק אומיד נורוזי (שני משמאל) אוחז במדליית הזהב בה זכה באולימפיאדת לונדון	איראן
199	iw	המגדל הלבן, סמל העיר	עיר עם עמוד עץ גדול.
200	iw	נשות צ'יטור מבצעות ג'והאר - התאבדות המונית בשריפה - עם כיבושה על ידי עלאא א-דין	עיר
201	iw	מפל מים בפארק	פארק וירונגה
202	iw	עטיפת הספר המדע העליז, 1882.	הספר של פרידריך ניטשה, עם מספר כותרות
203	iw	המשורר ג'ורג'ה קושבוק, אלנה ואידה, ד,ר צ'וטה מביסטריצה, אלכסנדרו ואידה-וייבוד והסופר יון לוקה קאראג'אלה בעיירת נופש קרלבסאד בשנת 1911	דוד ויבוד
204	iw	דמיטרי מדבדב בעת מינויו לתפקיד ראש ממשלת רוסיה.	כנס
205	iw	חיי אישים, כרך שלישי מתוך מהדורה משנת 1727 שהודפסה על ידי המדפיס ג'ייקוב טונסון (אנ')	ספר היסטוריה עם תמונות של אנשים חיים.
206	iw	מערות הקבורה מתקופת בית שני	קיר עץ
207	iw	ריבס המדבר בהר הנגב - פירות	צמחים ירוקים עם צבע אדום ירוקים עומדים בצד.
208	iw	סיטואציה במשחק איקס עיגול	משחק אסטרטגיה מופשט עם ארבעה קווי צבע
209	iw	אורוויל מציג את המטוס לצבא ארצות הברית, פורט מייר וירג'יניה ספטמבר 1908.	טיסה ציבורית
210	iw	One method for single cell DNA methylation sequencing.[4]	ריצוף ברמת התא הבודד של ה-methylome
211	iw	בית כנסת בית אל (כיום תיאטרון בונסטלה), 1903	ארכיטקט
212	iw	מרמיטה בהר	רמז
213	iw	מפת שלטון האימאם האיבדי בצבע כתום וסולטנות מסקט ועומאן באדום	היסטוריה
214	iw	אוהבי הגותה, ככל הנראה הרוזן פיליפ הצעיר ומרגרט ווייצ'רשנר	כנסייה
215	iw	ויליאם קארי	היסטוריה של המיסיון
216	iw	אזור משחקים בפארק הפרובינציאלי שבטון	פארק ילדים עם סכינים עץ גדולים.
217	iw	וילסון וסמית באחת מפגישותיהם במהלך שנת 1965	רודזיה
218	iw	סבון חלב	עיר
219	iw	טבלת מוצ'יקורו פתורה	משחק עם מספרים שחורים לבנים
220	iw	בתמונה זאת ניתן לראות את גודלו של הפודו הבוגר בהשוואה לאדם.	דֶּרוֹם דֶּרוֹם
221	iw	יאן דה בריי מצייר את חברי גילדת לוקאס הקדוש בהארלם, 1675	גילדת לוקאס הקדוש
222	iw	מיכאי האמיץ	מלחמת טרנסילבניה
223	iw	סטנלה מפוספסת קופצת באוקיינוס האטלנטי	ים
224	iw	"טור פורייה של גל ריבועי בעל מספר איברים גדל, מדגים את תופעת גיבס ב""אזניים"" שנוצרות בקצוות הגל הריבועי."	סולם עם מספרים ירוקים ועלים אדומים
225	iw	פסלון אשה מחימר שנמצא בכפר הירמוכי, שער הגולן	נאולית
226	iw	"צ'פלין בדמות ""הדיקטטור"" בסרט ""הדיקטטור הגדול"" (1940)"	צ'ארלי צ'פלין
227	iw	תרשים הקרב לפי דיווחי הטרפדות[א].	מלחמת הים
228	iw	גפנים בריוואז	אתר אינטרנט
229	iw	הרברט הובר בעשור השלישי לחייו, מהנדס מכרות.	מנהל
230	iw	פואבלו דה סן פדרו שבמדבר אטקמה	רחוב עם מספר אנשים שעוברים עליו.
231	iw	אדגר אלן פו	צילום בשחור-לבן של אדם עם תספורת.
