	lang	ref_caption	gen_caption
92	iw	השוואה בין תשליל (נגטיב) והדפס (פוזיטיב) של הדמות בתכריכים. התמונה השמאלית היא התשליל. ניתן לראות כי היא נראית כהדפס (פוזיטיב) ולא כתשליל (נגטיב)	שתי תמונות של דמות עם פנים רבות
93	iw	וילנב, שני משמאל, נושא את הדגל האולימפי בטקס הפתיחה של אולימפיאדת ונקובר (2010)	קבוצה של אנשים עומדים עם דגל עם דגל עם דגל עם דגל
94	iw	אננס גדל תחת רשתות צל במושב חרות בישראל	קטגוריה:אננס בישראל
95	iw	"""הלאומנים"" - קריקטורה מסביבות שנת 1910 מאת ניקולאיה פטרסקו- גאינה, המציגה את הצמד ניקולאיה יורגה וא.ק. קוזה, מייסדי המפלגה הלאומנית דמוקרטית, כדון קישוט וסנצ'ו פנסה בהתאמה. מגנו של יורגה נושא את שם בטאונם: Neamul românesc, ועל חרבו נראה ראש כרות של יהודי"	דמות עם קסדה עם עץ עם עץ עם עץ עם עץ עם
96	iw	"דידי הררי ומיכל זוארץ בעת שהגישו את התוכנית ""קיץ על החוף"" בערוץ 2"	גבר ונשים עומדים אחד מול השני.
97	iw	הנשיא ביל קלינטון משוחח עם מושל אינדיאנה ביי בחדר הסגלגל, 1993	אוון ביי (אוון ביי) הוא פוליטיקאי אמריקאי, אשר היה אחד מראשי פוליטיקאים אמריקאי
98	iw	צו הקמה ליחידת שייטת ספינות הטילים, 15 בנובמבר 1967.	דף עם מספרים עבור תוכנית תוכנית תוכנית תוכנית תוכנית תוכנית תוכנ
99	iw	גודריץ' בשנת 2001	גייל גודריץ', כותרת מקטע: ניו אורלינס ג'אז
100	iw	"בפרימיירה של הסרט ""לחשוב כמו גבר"" בשנת 2012"	קווין הארט, כותרת מקטע: המעבר אל המסכים הגדולים
101	iw	"בית החולים ע""ש מארינסקי במוסקבה שבו עבד אביו של דוסטויבסקי. המשפחה התגוררה בדירה במתחם"	פיודור דוסטויבסקי, כותרת מקטע: ילדות
102	iw	אמלי מורסמו, מנצחת התחרות	שחקנית טניס עומדת על כדור טניס.
103	iw	מפה המציגה את משימות הריסוס האווירי בדרום וייטנאם שהתבצעו בין 1965 ל-1971	דף ראשי של תוכנית תוכנית תוכנית תוכנית תוכנית תוכנית תוכנית תוכנית
104	iw	תחרות הפלה ברומח בין פרשים כבדים (אבירים בשריון לוחות)	חיל פרשים, כותרת מקטע: עידן האבירים
105	iw	קרואטי גבוה אצילות נבחר פרדיננד הראשון של בית הבסבורג בתור מלך קרואטיה ב - 1527	יחסי אוסטריה–קרואטיה
106	iw	האפיפיור יוחנן פאולוס השני עם נשיא ארצות הברית ג'ורג' בוש בקסטל גנדולפו בשנת 2001	אחוזת האפיפיור בקסטל גנדולפו, איטליה
107	iw	נחל לכיש וגדותיו במבט מפארק לכיש	אזור תעשייה עם מים ירוקים ליד עץ.
108	iw	צורת הכניסה לחליפת החלל אורלן.	חולצה אסטרונאוטים
109	iw	דניס בונקר, ג'סיקה, 1890	דניס מילר בונקר, כותרת מקטע: חיים
110	iw	המסלול	טבלת המסלול של פארק דה דה דה דה דה דה דה דה דה דה דה
111	iw	אנשיו של מונקאלם טובחים בנשים וילדים בריטיים בפורט ויליאם הנרי. מונקאלם נראה מימין מנסה לעצור אותם.	צילום של מלחמת אמריקה הראשונה
112	iw	העיר ריצ'לנד בראשית ימיה: עיר המגורים העיקרית שבנה הממשל האמריקאי לעובדי הנפורד	צילום אווירי של עיר עם מים.
113	iw	סגן קנדי (מימין) עם צוות ספינת הסיור שלו ב-1943	ג'ון פיצג'רלד קנדי, שם קטע: שירותו הצבאי (1941-1945), שם קטע
114	iw	ראיין ריינולדס, שגילם את דדפול בסרט, בבכורה של הסרט בטמפה.	גבר עם חולצה שחורה עם סווטשרט שחור.
115	iw	Aequorea victoria, מדוזה ביו-פלואורסצנטית הידועה כנשאית GFP	אלמוגים - אלמוגים - אלמוגים - אלמוגים - אלמוגים - אלמוגים -
116	iw	ואן דייק באולימפיאדת לונדון (2012)	שם קטע: אלן ואן דייק
117	iw	אליעזר ריבלין	"בג""ץ איחוד משפחות II"
118	iw	"דפוס ראשון של מורה נבוכים לרמב""ם בתרגום שמואל אבן תיבון; רומא, המאה ה-15"	טקסט עם כתב יפני על גבי דף שחור
119	iw	שחזור של הצגת הטלפון על ידי בל	גבר עם תספורת שחור-לבן עם מיקרופון.
120	iw	"איור מתוך ה""פשטבוך"" של וולרשטיין במאה ה-15, מראה טכניקות לחימה בשריון: מהלומה באמצעות תפוח הניצב, ודקירה תוך אחיזת הלהב באמצעו."	כותרת מקטע: טכניקה ואמנות לחימה
121	iw	האי בראבאנט, מבט מכיוון צפון מזרח לעבר האי. מימין ניתן לראות את האי אונוור, וברקע את חצי האי האנטארקטי; את הרי סולוואי, ניתן לראות משמאל, בצד הרחוק של האי.	קרחון באלאנסטרה הוא קרחון ענק עם מספר רמות של קרח.
122	iw	ותיקי האגודה (מימין לשמאל) שוקה שפירא, אהוד גלילי וחיים סתיו מעלים זיכרונות וכותבים את ערך האגודה	האגודה למחקר תת-ימי בישראל, כותרת מקטע: מבצעים וסקרים נוספים שביצעה האגודה
123	iw	"תצורת סלע בירדן הנקראת ""אשת לוט"". במפות הירדניות מופיעה בשם ""בת השיח' לוט"" מכיוון שבקוראן אשת לוט לא הפכה לנציב מלח"	רכב עם עץ ליד קיר גבוה.
124	iw	קיטל עם חולצת המאיץ על הדוכן של טור דה פראנס 2017.	גבר עם חולצה ירוקה עומד על סולם.
125	iw	מקוק סרטנים אוחז בפרי	מקוק סרטנים הוא מין של חיות עם חיים ארוכים, אשר חיים בטבע.
126	iw	ביתן ג'והמנו	ארמון צה'אנגדאק, כותרת מקטע: גנים
127	iw	בניית תחנת הרכבת של קורדובה, שנות ה-80 של המאה ה-19	צילום ישן של רחוב עם רכבים עליו.
128	iw	תיאור מימי הביניים של יהודי, בעל כובע מחודד, בעסקה כספית עם נוצרי	מקור המושג הוא טקסט היסטורי.
129	iw	מייבש כביסה עתיק	חלקים עיקריים במייבש כביסה מודרני הם מוט, מוט גזירה, מוט גזירה,
130	iw	מבנה בית הכנסת החרב בווידין כפי שצולם ב-2009	יהדות בולגריה, לאחר העלייה ההמונית לישראל
131	iw	יער עננים - אופייני לבית הגידול של הסרו.	יער עם יער ירוק גבוה.
132	iw	תיאטרון ילדים והנוער באר שבע 2018	זוג נשים עם עץ ירוק ליד עץ.
133	iw	בניין מועצת העיר אודסה	עיר אודסה, אזור פוליטי, פוליטיקה וממשל
134	iw	הראפאל ממריא מנושאת מטוסים	חיל האוויר הצרפתי, כלי תעופה שברשות החיל, כלי תעופה ימיים
135	iw	פיאצה אינדיפנדנצה והאובליסק	כותרת מקטע: פיאצה אינדיפנדנצה וכנסיית סן רוקו
136	iw	"נשים לא לבנות מקהילת הלהט""ב עלולות להיות חשופות למיקרו-אגרסיה בעלת אופי הצטלבותי, אשר מושפעת מיותר מזהות או מאפיין אחד שלהן (למשל: מגדר, גזע או נטייה מינית)"	מיקרו-אגרסיה היא ביטוי אגרסיבי של אגרסיביות פיזית, אשר יכול להיות ביטו
137	iw	אריאדנה עם בנה אלי. פריז, 1938	הספר הראשון ונישואיה הראשונים של אריאדנה סקריאבינה
138	iw	סמל הארמייה	דגל עם דגל רוסי על הצד
139	iw	טאראמוסאלאטה - סלט ביצי דגים	אוכל יווני עם תבלינים, עגבניות, אבוקדו, עגבניות, אבוקדו,
140	iw	מתקפת החיוכים; מוחמד ג'וואד זריף, שר החוץ של איראן. עם קתרין אשטון, לשעבר הנציגה העליונה לענייני חוץ ומדיניות ביטחון של האיחוד האירופי	יחסי החוץ של איראן
141	iw	צפיפות האוכלוסין הגדולה שבעיר מתאפיינת בבתים צפופים ורבי קומות	עיר גדולה עם מספר רב של בניינים.
142	iw	פוחלץ של זכר בוגר במוזיאון הזואולוגי של סנט פטרבורג.	שתי חיות עומדות בפני זכוכית.
143	iw	רוטשטיין (מימין) עם חבריו ללהקת הכל עובר חביבי	קבוצה של ארבעה אנשים עומדים יחד עם אחד מהם עם תסרוקת.
144	iw	ג'ויס ב-1888	ג'יימס ג'ויס, בן, הוא אחד מחברי משפחתו.
145	iw	ציון הנקודה מתחת לשער	כותרת עמוד: קילומטר אפס
146	iw	הכור הגרעיני הראשון, שנבנה בשדה סטאג, בשיקגו	קיר עם מספר מדרגות מעל קיר עם מספר מדרגות מעל קיר
147	iw	נשיא ארצות הברית, ברק אובמה, בעת נאום לאומה שערך בינואר 2010 ובו התחייב לבטל את המדיניות. התנגדותו לחוק הייתה עקבית עוד מתקופת כהונתו כסנאטור, ובמהלך כהונתו כנשיא קידם מהלכים לביטולו.	ברק אובמה הוא אחד מחברי המועצה האמריקאית.
148	iw	בית הכנסת בכפר דרום	חדר גדול עם מספר שולחנות רבים.
149	iw	חבר חמישיית העונה הארי גלאטין	צילום בשחור-לבן של שחקן כדורסל עם כדור.
150	iw	הטירה בבולסנה	אגם בולסנה, אזור: יישובים על שפת האגם
151	iw	הצב-לא-צב, אליס והגריפון. ניתן להבחין שראשו, פרסותיו וזנבו של הצב-לא-צב הן של בקר	סרטון עם ילד עם דגל ירוק ליד דגל ירוק.
152	iw	"סט כרומוזומים של אדם (מימין) ושל אורנגאוטן (משמאל), מסומנים בצבע פלואורסצנטי קשור לדנ""א מזוג כרומוזומים מספר 2 של אדם. הצביעה מראה שהגנום של האורנגאוטן מכיל רצף דנ""א כמעט זהה, אלא שהוא מחולק על פני שני זוגות כרומוזומים"	שני תמונות של גנום האדם עם צבעים אדומים ירוקים
153	iw	שטר ייחודי של 100,000 דולר אמריקני	קטגוריה:כספים
154	iw	גשר שיח' חוסיין קרס לתוך הירדן, 1946, ארכיון ההגנה	גשר שייח' חוסיין, ירושלים
155	iw	"מיה זיו-וולף ואברי גלעד באולפן ""העולם הבוקר"", חנוכה תשע""ט"	קבוצה של אנשים עומדים סביב שולחן עם משקאות.
156	iw	גשר אוברבאום בשעת שקיעה, במבט מכיוון צפון.	גשר אוברבאום, כותרת מקטע: היסטוריה
157	iw	בזיליקת הלב הקדוש	כנסייה גדולה עם מספר מדרגות.
158	iw	פנחס לבון	צילום בשחור-לבן של אדם עם חולצה.
159	iw	אוניברסיטת הרווארד	עיר: מסצ'וסטס, כותרת מקטע: מכללות ואוניברסיטאות
160	iw	פגסוס דרקוני בחול	דגי גרם במפרץ אילת
161	iw	קטע מ-DNA שמכיל מידע גנטי חשוב להתפתחות ותפקוד יצורים חיים.	דנאום עם צבעים רבים
162	iw	מופע צעיר של יולית ים סוף	ילית ים-סופית
163	iw	הספינה ויקטוריה. פרט מתוך מפה של אברהם אורטליוס, קרטוגרף	דף היסטורי של פורטוגל עם דף היסטורי של פורטוגל.
164	iw	Oat groats - גרעיני שיבולת שועל מלאים ושלמים	סוג: תבואה
165	iw	אחיזה טיפוסית ברפייר: האצבע והאגודל מעל לשמורות המוצלבות	צילום בשחור-לבן של יד עם סכין.
166	iw	הורים מצולמים יחד עם בתם שזה עתה נפטרה. המתה צולמה כשעיניה עוד היו פקוחות.	צילום שחור-לבן של משפחה עם ילד.
167	iw	חג ההתגלות שנחגג בתחילת ינואר, מחליף את חג המולד בחלק מהכנסיות	מקור: חג המולד
168	iw	העיר העתיקה במונטריאול	קבוצה של אנשים עומדים ברחוב ליד משרדים.
169	iw	"היכל הספר, משכנן של מגילות מדבר יהודה (""המגילות הגנוזות"") וכתר ארם צובא"	קיר עם מים ליד צמחים.
170	iw	ג'יימס קונולי, האלוף האולימפי הראשון בעת החדשה (קפיצה משולשת, אולימפיאדת אתונה)	גבר עם חולצה שחורה עומדת מול דגל ארצות הברית.
171	iw	תקשורת בין-אישית	מודל הזרימה הדו-שלבי מציג את מאפייני מנהיג הדעה במודל הזרימה הדו-שלבי
172	iw	דיוקנו הרשמי של אובמה בכהונתו הראשונה, 2009	ברק אובמה, כותרת מקטע: כהונתו כנשיא
173	iw	דרך עפר בברזיל	סוג דרך: דרך עפר
174	iw	אפרוח פטם עם חזה מוגדל יחסית למשקלו עקב השבחה. תיעוד של קירות שקופים	קירות שקופים, כותרת: תיעוד
175	iw	לפי מרקס, דת היא אחת הדרכים לשימור היכולת של החברה לשמר את הערכים והצורה החברתית הקיימת. בתמונה: איקונה של ישו, הקדוש לדת הנוצרית	כותרת מקטע: דת ולאום כתוצרי המאבק המעמדי
176	iw	לבון הלם במנדולינה, 1971	אלבום חדש של לבון הלם, כותרת מקטע: מהתקליט השני ועד פירוק הלהקה
177	iw	ניוטון בציורו של וויליאם בלייק (1795). נס או עבודה קשה?	כותרת עמוד: שנת הפלאות של ניוטון
178	iw	אתיופיה בסביבות 1850	כותרת מקטע: תקופת הגיבוש האתיופית
179	iw	למרות גודלו הרב, תזונת הלווייתן הכחול מבוססת בעיקר על יצורים זעירים - פלנקטון, קריל וסרטנאים זעירים. בתמונה קריל מהמין קריל אנטארקטי (Euphausia superba)	דגים חיים במים.
180	iw	סטייקים של קודו וזברה מוגשים במסעדה בקייפטאון.	קודו גמלוני, כותרת מקטע: בשר
181	iw	מחקר מוקדם של באומן - מיפוי הקשר בין סוגי הקרקעות והיערות בארצות הברית. 1911	דף היסטורי של אמריקה עם דף היסטורי של אמריקה
182	iw	עיט, מרינה הרצליה	פסלי חוצות
183	iw	סמל המשפחה של עמנואל בנבנשתי מאמצע המאה ה-17. גור האריה והמגדל מופיעים גם בסמל המשפחה של משפחת מנדש.	משפחה בנבנשתי, קטגוריה: היסטוריה
184	iw	החומה הרחבה שנבנתה על ידי חזקיהו.	מסע סנחריב בארץ ישראל
185	iw	זאב רווח	גבר עם תכשיטים שחורים עם תכשיטים ירוקים עם תכשיטים ירוקים
186	iw	אלכסנדר פלמינג	צילום בשחור-לבן של שני אנשים עם עטיפות.
187	iw	"התוכניות הסובייטיות לכיבוש מבלט רז'ב-ויאזמה (מבצע ""מארס"" בחצים הקטנים ומבצע ""יופיטר"" בחצים הגדולים). השטחים שנכבשו במהלך המתקפה הסובייטית מסומנים בקו מפוספס"	לוח עם מספר קווי ירי
188	iw	שחקני ארסנל בעונת 1920/1921, שהייתה הטובה ביותר בתקופת לזלי נייטון. המועדון סיים במקום התשיעי בעונה זו	היסטוריה של ארסנל, כותרת מקטע: המעבר להייבורי (1910 - 1925)
189	iw	הנבחרת הצעירה של ישראל במשחקי אליפות אירופה לנבחרות צעירות, יוני 2013	הנבחרת הצעירה של ישראל בכדורגל
190	iw	מומנט כפיפה בצינור על תמיכות תחת עומס מפולג	דוגמה גרפית של ציר עם מספרים
191	iw	כרזת בחירות של הייז ושל וילר	כותרת עמוד: רתרפורד הייז, כותרת מקטע: מועמדותו והבחירות הכלליות
192	iw	"הפסל המקסיקני אבל רמירס אגילר (Abel Ramírez Águilar) יחד עם חברים אחרים לפני פסל השלג שגילפו ""כפר קטן"" באליפות הבינלאומית לפיסול בשלג ב-1999"	קבוצה של אנשים עומדים ליד קיר עם דגל שחור.
193	iw	סוף תחרות הסיבולת (Endurance) במועדון Hot-wheels רמת ישי	קבוצה של ילדים עומדים ליד לוח עם מכוניות רטרו.
194	iw	"ד""ר טרנדלי דין שחקר את הקשר בין תחלואה בפלואורוזיס לבין פלואוריד במי השתייה"	צילום בשחור-לבן של אדם בחליפה.
195	iw	נקבת צפיר קורדילרים עם תאומים. הפארק הלאומי גליישר.	חיות יער חיות יער חיות יער חיות יער חיות יער חיות יער חיות יער חיות
196	iw	קרויצגר במהלך טור דה פראנס 2009	רומן קרויצגר, כותרת מקטע: ליקוויגאס (2006–2010).
197	iw	אצת פלה	כותרת מקטע: זכוכית געשית
